Date,Open,High,Low,Close,Adj Close,Volume
2025-12-12,26314.000000,26315.000000,26260.000000,26300.000000,26300.000000,0
2025-12-11,26345.000000,26355.000000,26300.000000,26355.000000,26355.000000,0
2025-12-10,26365.000000,26368.000000,26349.000000,26340.000000,26340.000000,0
2025-12-09,26315.000000,26363.000000,26315.000000,26320.000000,26320.000000,0
2025-12-08,26359.000000,26370.000000,26320.000000,26320.000000,26320.000000,0
2025-12-05,26372.000000,26376.000000,26320.000000,26340.000000,26340.000000,0
2025-12-04,26370.000000,26375.000000,26340.000000,26345.000000,26345.000000,0
2025-12-03,26340.000000,26381.000000,26310.000000,26340.000000,26340.000000,0
2025-12-02,26374.000000,26382.000000,26340.000000,26340.000000,26340.000000,0
2025-12-01,26345.000000,26376.000000,26310.000000,26330.000000,26330.000000,0
2025-11-28,26369.000000,26376.000000,26325.000000,26372.000000,26372.000000,0
2025-11-27,26374.000000,26378.000000,26345.000000,26350.000000,26350.000000,0
2025-11-26,26369.000000,26377.000000,26343.000000,26343.000000,26343.000000,0
2025-11-25,26350.000000,26381.000000,26343.000000,26350.000000,26350.000000,0
2025-11-24,26359.000000,26382.000000,26265.000000,26349.000000,26349.000000,0
2025-11-21,26380.000000,26383.000000,26349.000000,26366.000000,26366.000000,0
2025-11-20,26359.000000,26378.000000,26355.000000,26376.000000,26376.000000,0
2025-11-19,26382.000000,26387.000000,26334.000000,26378.000000,26378.000000,0
2025-11-18,26374.000000,26385.000000,26315.000000,26335.000000,26335.000000,0
2025-11-17,26344.000000,26357.000000,26275.000000,26325.000000,26325.000000,0
2025-11-14,26356.000000,26356.000000,26325.000000,26320.000000,26320.000000,0
2025-11-13,26325.000000,26351.000000,26300.000000,26280.000000,26280.000000,0
2025-11-12,26325.000000,26351.000000,26300.000000,26280.000000,26280.000000,0
2025-11-11,26314.000000,26315.000000,26280.000000,26270.000000,26270.000000,0
2025-11-10,26311.000000,26311.000000,26270.000000,26280.000000,26280.000000,0
2025-11-07,26285.000000,26320.000000,26280.000000,26285.000000,26285.000000,0
2025-11-06,26300.000000,26324.000000,26285.000000,26300.000000,26300.000000,0
2025-11-05,26295.000000,26340.000000,26300.000000,26295.000000,26295.000000,0
2025-11-04,26309.000000,26334.000000,26295.000000,26309.000000,26309.000000,0
2025-11-03,26310.000000,26313.000000,26260.000000,26310.000000,26310.000000,0
2025-10-31,26315.000000,26330.000000,26280.000000,26315.000000,26315.000000,0
2025-10-30,26335.000000,26339.000000,26300.000000,26335.000000,26335.000000,0
2025-10-29,26308.000000,26337.000000,26325.000000,26308.000000,26308.000000,0
2025-10-28,26280.000000,26328.000000,26280.000000,26280.000000,26280.000000,0
2025-10-27,26280.000000,26306.000000,26265.000000,26280.000000,26280.000000,0
2025-10-24,26312.000000,26340.000000,26280.000000,26312.000000,26312.000000,0
2025-10-23,26345.000000,26350.000000,26300.000000,26345.000000,26345.000000,0
2025-10-22,26333.000000,26352.000000,26285.000000,26333.000000,26333.000000,0
2025-10-21,26330.000000,26352.000000,26325.000000,26330.000000,26330.000000,0
2025-10-20,26337.000000,26355.000000,26325.000000,26337.000000,26337.000000,0
2025-10-17,26310.000000,26348.000000,26310.000000,26310.000000,26310.000000,0
2025-10-16,26315.000000,26347.000000,26310.000000,26315.000000,26315.000000,0
2025-10-15,26343.000000,26351.000000,26315.000000,26343.000000,26343.000000,0
2025-10-14,26325.000000,26360.000000,26300.000000,26325.000000,26325.000000,0
2025-10-13,26310.000000,26347.000000,26310.000000,26310.000000,26310.000000,0
2025-10-10,26346.000000,26350.000000,26310.000000,26346.000000,26346.000000,0
2025-10-09,26335.000000,26402.000000,26325.000000,26335.000000,26335.000000,0
2025-10-08,26340.000000,26362.000000,26330.000000,26340.000000,26340.000000,0
2025-10-07,26340.000000,26366.000000,26335.000000,26340.000000,26340.000000,0
2025-10-06,26375.000000,26402.000000,26335.000000,26375.000000,26375.000000,0
2025-10-03,26393.000000,26393.000000,26369.000000,26393.000000,26393.000000,0
2025-10-02,26405.000000,26413.000000,26350.000000,26405.000000,26405.000000,0
2025-10-01,26425.000000,26428.000000,26348.000000,26425.000000,26425.000000,0
2025-09-30,26414.000000,26427.000000,26399.000000,26414.000000,26414.000000,0
2025-09-29,26385.000000,26427.000000,26385.000000,26385.000000,26385.000000,0
2025-09-26,26380.000000,26405.000000,26375.000000,26380.000000,26380.000000,0
2025-09-25,26395.000000,26416.000000,26380.000000,26395.000000,26395.000000,0
2025-09-24,26395.000000,26420.000000,26385.000000,26395.000000,26395.000000,0
2025-09-23,26395.000000,26425.000000,26390.000000,26395.000000,26395.000000,0
2025-09-22,26355.000000,26410.000000,26355.000000,26355.000000,26355.000000,0
2025-09-19,26355.000000,26390.000000,26355.000000,26355.000000,26355.000000,0
2025-09-18,26340.000000,26383.000000,26340.000000,26340.000000,26340.000000,0
2025-09-17,26381.000000,26381.000000,26340.000000,26381.000000,26381.000000,0
2025-09-16,26355.000000,26388.000000,26350.000000,26355.000000,26355.000000,0
2025-09-15,26355.000000,26385.000000,26350.000000,26355.000000,26355.000000,0
2025-09-12,26375.000000,26405.000000,26355.000000,26375.000000,26375.000000,0
2025-09-11,26370.000000,26405.000000,26365.000000,26370.000000,26370.000000,0
2025-09-10,26360.000000,26394.000000,26345.000000,26360.000000,26360.000000,0
2025-09-09,26385.000000,26415.000000,26360.000000,26385.000000,26385.000000,0
2025-09-08,26375.000000,26418.000000,26345.000000,26375.000000,26375.000000,0
2025-09-05,26360.000000,26400.000000,26360.000000,26360.000000,26360.000000,0
2025-09-04,26365.000000,26390.000000,26350.000000,26365.000000,26365.000000,0
2025-09-03,26340.000000,26370.000000,26293.000000,26340.000000,26340.000000,0
2025-09-02,26340.000000,26340.000000,26340.000000,26340.000000,26340.000000,0
2025-09-01,26340.000000,26340.000000,26340.000000,26340.000000,26340.000000,0
2025-08-29,26360.000000,26360.000000,26320.000000,26360.000000,26360.000000,0
2025-08-28,26374.000000,26374.000000,26320.000000,26374.000000,26374.000000,0
2025-08-27,26340.000000,26390.000000,26320.000000,26340.000000,26340.000000,0
2025-08-26,26300.000000,26365.000000,26293.000000,26300.000000,26300.000000,0
2025-08-25,26300.000000,26317.000000,26278.000000,26300.000000,26300.000000,0
2025-08-22,26405.000000,26435.000000,26297.000000,26405.000000,26405.000000,0
2025-08-21,26370.000000,26449.000000,26346.000000,26370.000000,26370.000000,0
2025-08-20,26290.000000,26370.000000,26290.000000,26290.000000,26290.000000,0
2025-08-19,26275.000000,26312.000000,26275.000000,26275.000000,26275.000000,0
2025-08-18,26240.000000,26294.000000,26249.000000,26240.000000,26240.000000,0
2025-08-15,26230.000000,26280.000000,26230.000000,26230.000000,26230.000000,0
2025-08-14,26265.000000,26287.000000,26230.000000,26265.000000,26265.000000,0
2025-08-13,26245.000000,26285.000000,26225.000000,26245.000000,26245.000000,0
2025-08-12,26231.000000,26270.000000,26190.000000,26231.000000,26231.000000,0
2025-08-11,26200.000000,26231.000000,26200.000000,26200.000000,26200.000000,0
2025-08-08,26190.000000,26223.000000,26160.000000,26190.000000,26190.000000,0
2025-08-07,26200.000000,26224.000000,26190.000000,26200.000000,26200.000000,0
2025-08-06,26225.000000,26260.000000,26200.000000,26225.000000,26225.000000,0
2025-08-05,26174.000000,26243.000000,26160.000000,26174.000000,26174.000000,0
2025-08-04,26190.000000,26225.000000,26140.000000,26190.000000,26190.000000,0
2025-08-01,26197.000000,26218.000000,26170.000000,26197.000000,26197.000000,0
2025-07-31,26200.000000,26225.000000,26160.000000,26200.000000,26200.000000,0
2025-07-30,26195.000000,26240.000000,26175.000000,26195.000000,26195.000000,0
2025-07-29,26165.000000,26250.000000,26160.000000,26165.000000,26165.000000,0
2025-07-28,26120.000000,26207.000000,26120.000000,26120.000000,26120.000000,0
2025-07-25,26110.000000,26146.000000,26100.000000,26110.000000,26110.000000,0
2025-07-24,26120.000000,26145.000000,26110.000000,26120.000000,26120.000000,0
2025-07-23,26120.000000,26150.000000,26115.000000,26120.000000,26120.000000,0
2025-07-22,26130.000000,26150.000000,26120.000000,26130.000000,26130.000000,0
2025-07-21,26140.000000,26157.000000,26130.000000,26140.000000,26140.000000,0
2025-07-18,26135.000000,26166.000000,26135.000000,26135.000000,26135.000000,0
2025-07-17,26140.000000,26160.000000,26120.000000,26140.000000,26140.000000,0
2025-07-16,26120.000000,26165.000000,26120.000000,26120.000000,26120.000000,0
2025-07-15,26100.000000,26142.000000,26095.000000,26100.000000,26100.000000,0
2025-07-14,26108.000000,26125.000000,26080.000000,26108.000000,26108.000000,0
2025-07-11,26100.000000,26120.000000,26047.000000,26100.000000,26100.000000,0
2025-07-10,26138.000000,26138.000000,26094.000000,26138.000000,26138.000000,0
2025-07-09,26110.000000,26149.000000,26100.000000,26110.000000,26110.000000,0
2025-07-08,26120.000000,26145.000000,26090.000000,26120.000000,26120.000000,0
2025-07-07,26158.000000,26166.000000,26084.000000,26158.000000,26158.000000,0
2025-07-04,26175.000000,26230.000000,26150.000000,26175.000000,26175.000000,0
2025-07-03,26150.000000,26229.000000,26150.000000,26150.000000,26150.000000,0
2025-07-02,26110.000000,26168.000000,26090.000000,26110.000000,26110.000000,0
2025-07-01,26118.000000,26145.000000,26060.000000,26118.000000,26118.000000,0
2025-06-30,26090.000000,26125.000000,26048.000000,26090.000000,26090.000000,0
2025-06-27,26100.000000,26135.000000,26065.000000,26100.000000,26100.000000,0
2025-06-26,26150.000000,26150.000000,26090.000000,26150.000000,26150.000000,0
2025-06-25,26150.000000,26170.000000,26120.000000,26150.000000,26150.000000,0
2025-06-24,26190.000000,26190.000000,26121.000000,26190.000000,26190.000000,0
2025-06-23,26119.000000,26205.000000,26119.000000,26119.000000,26119.000000,0
2025-06-20,26123.000000,26140.000000,26108.000000,26123.000000,26123.000000,0
2025-06-19,26092.000000,26131.000000,26080.000000,26092.000000,26092.000000,0
2025-06-18,26072.000000,26100.000000,26065.000000,26072.000000,26072.000000,0
2025-06-17,26030.000000,26086.000000,26030.000000,26030.000000,26030.000000,0
2025-06-16,26050.000000,26095.000000,26026.000000,26050.000000,26050.000000,0
2025-06-13,26020.000000,26076.000000,26020.000000,26020.000000,26020.000000,0
2025-06-12,26010.000000,26030.000000,26000.000000,26010.000000,26010.000000,0
2025-06-11,25990.000000,26025.000000,25990.000000,25990.000000,25990.000000,0
2025-06-10,26025.000000,26041.000000,25990.000000,26025.000000,26025.000000,0
2025-06-09,26047.000000,26091.000000,26015.000000,26047.000000,26047.000000,0
2025-06-06,26056.000000,26090.000000,26025.000000,26056.000000,26056.000000,0
2025-06-05,26071.000000,26104.000000,26050.000000,26071.000000,26071.000000,0
2025-06-04,26038.000000,26085.000000,26020.000000,26038.000000,26038.000000,0
2025-06-03,26022.000000,26070.000000,26019.000000,26022.000000,26022.000000,0
2025-06-02,26019.000000,26033.000000,25970.000000,26019.000000,26019.000000,0
2025-05-30,25996.000000,26030.000000,25930.000000,25996.000000,25996.000000,0
2025-05-29,25950.000000,26044.000000,25950.000000,25950.000000,25950.000000,0
2025-05-28,25903.000000,25960.000000,25903.000000,25903.000000,25903.000000,0
2025-05-27,25897.000000,25955.000000,25871.000000,25897.000000,25897.000000,0
2025-05-26,25946.000000,25959.000000,25880.000000,25946.000000,25946.000000,0
2025-05-23,25973.000000,25959.000000,25930.000000,25973.000000,25973.000000,0
2025-05-22,25950.000000,25979.000000,25945.000000,25950.000000,25950.000000,0
2025-05-21,25950.000000,25970.000000,25900.000000,25950.000000,25950.000000,0
2025-05-20,25932.000000,25964.000000,25932.000000,25932.000000,25932.000000,0
2025-05-19,25917.000000,25951.000000,25890.000000,25917.000000,25917.000000,0
2025-05-16,25920.000000,25930.000000,25890.000000,25920.000000,25920.000000,0
2025-05-15,25924.000000,25950.000000,25896.000000,25924.000000,25924.000000,0
2025-05-14,25951.000000,25966.000000,25900.000000,25951.000000,25951.000000,0
2025-05-13,25960.000000,25980.000000,25920.000000,25960.000000,25960.000000,0
2025-05-12,25952.000000,25975.000000,25926.000000,25952.000000,25952.000000,0
2025-05-09,25959.000000,25989.000000,25940.000000,25959.000000,25959.000000,0
2025-05-08,25953.000000,25980.000000,25942.000000,25953.000000,25953.000000,0
2025-05-07,25948.000000,25967.000000,25895.000000,25948.000000,25948.000000,0
2025-05-06,25942.000000,25982.000000,25937.000000,25942.000000,25942.000000,0
2025-05-05,25980.000000,25987.000000,25930.000000,25980.000000,25980.000000,0
2025-05-02,25980.000000,25980.000000,25980.000000,25980.000000,25980.000000,0
2025-05-01,25980.000000,25980.000000,25980.000000,25980.000000,25980.000000,0
2025-04-30,25980.000000,25980.000000,25970.000000,25980.000000,25980.000000,0
2025-04-29,25970.000000,25990.000000,25950.000000,25970.000000,25970.000000,0
2025-04-28,26019.000000,26030.000000,25950.000000,26019.000000,26019.000000,0
2025-04-25,26026.000000,26051.000000,26000.000000,26026.000000,26026.000000,0
2025-04-24,25965.000000,26044.000000,25965.000000,25965.000000,25965.000000,0
2025-04-23,25932.000000,25999.000000,25932.000000,25932.000000,25932.000000,0
2025-04-22,25871.000000,25984.000000,25871.000000,25871.000000,25871.000000,0
2025-04-17,25830.000000,25889.000000,25830.000000,25830.000000,25830.000000,0
